id,mssubclass,mszoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,poolqc,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice
1,60,rl,65.0,8450,pave,NA,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,7,5,2003,2003,gable,compshg,vinylsd,vinylsd,brkface,196.0,gd,ta,pconc,gd,ta,no,glq,706,unf,0,150,856,gasa,ex,y,sbrkr,856,854,0,1710,1,0,2,1,3,1,gd,8,typ,0,NA,attchd,2003.0,rfn,2,548,ta,ta,y,0,61,0,0,0,0,NA,NA,NA,0,2,2008,wd,normal,208500
2,20,rl,80.0,9600,pave,NA,reg,lvl,allpub,fr2,gtl,veenker,feedr,norm,1fam,1story,6,8,1976,1976,gable,compshg,metalsd,metalsd,none,0.0,ta,ta,cblock,gd,ta,gd,alq,978,unf,0,284,1262,gasa,ex,y,sbrkr,1262,0,0,1262,0,1,2,0,3,1,ta,6,typ,1,ta,attchd,1976.0,rfn,2,460,ta,ta,y,298,0,0,0,0,0,NA,NA,NA,0,5,2007,wd,normal,181500
3,60,rl,68.0,11250,pave,NA,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,2story,7,5,2001,2002,gable,compshg,vinylsd,vinylsd,brkface,162.0,gd,ta,pconc,gd,ta,mn,glq,486,unf,0,434,920,gasa,ex,y,sbrkr,920,866,0,1786,1,0,2,1,3,1,gd,6,typ,1,ta,attchd,2001.0,rfn,2,608,ta,ta,y,0,42,0,0,0,0,NA,NA,NA,0,9,2008,wd,normal,223500
4,70,rl,60.0,9550,pave,NA,ir1,lvl,allpub,corner,gtl,crawfor,norm,norm,1fam,2story,7,5,1915,1970,gable,compshg,wd sdng,wd shng,none,0.0,ta,ta,brktil,ta,gd,no,alq,216,unf,0,540,756,gasa,gd,y,sbrkr,961,756,0,1717,1,0,1,0,3,1,gd,7,typ,1,gd,detchd,1998.0,unf,3,642,ta,ta,y,0,35,272,0,0,0,NA,NA,NA,0,2,2006,wd,abnorml,140000
5,60,rl,84.0,14260,pave,NA,ir1,lvl,allpub,fr2,gtl,noridge,norm,norm,1fam,2story,8,5,2000,2000,gable,compshg,vinylsd,vinylsd,brkface,350.0,gd,ta,pconc,gd,ta,av,glq,655,unf,0,490,1145,gasa,ex,y,sbrkr,1145,1053,0,2198,1,0,2,1,4,1,gd,9,typ,1,ta,attchd,2000.0,rfn,3,836,ta,ta,y,192,84,0,0,0,0,NA,NA,NA,0,12,2008,wd,normal,250000
6,50,rl,85.0,14115,pave,NA,ir1,lvl,allpub,inside,gtl,mitchel,norm,norm,1fam,1.5fin,5,5,1993,1995,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,wood,gd,ta,no,glq,732,unf,0,64,796,gasa,ex,y,sbrkr,796,566,0,1362,1,0,1,1,1,1,ta,5,typ,0,NA,attchd,1993.0,unf,2,480,ta,ta,y,40,30,0,320,0,0,NA,mnprv,shed,700,10,2009,wd,normal,143000
7,20,rl,75.0,10084,pave,NA,reg,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,1story,8,5,2004,2005,gable,compshg,vinylsd,vinylsd,stone,186.0,gd,ta,pconc,ex,ta,av,glq,1369,unf,0,317,1686,gasa,ex,y,sbrkr,1694,0,0,1694,1,0,2,0,3,1,gd,7,typ,1,gd,attchd,2004.0,rfn,2,636,ta,ta,y,255,57,0,0,0,0,NA,NA,NA,0,8,2007,wd,normal,307000
8,60,rl,69.0,10382,pave,NA,ir1,lvl,allpub,corner,gtl,nwames,posn,norm,1fam,2story,7,6,1973,1973,gable,compshg,hdboard,hdboard,stone,240.0,ta,ta,cblock,gd,ta,mn,alq,859,blq,32,216,1107,gasa,ex,y,sbrkr,1107,983,0,2090,1,0,2,1,3,1,ta,7,typ,2,ta,attchd,1973.0,rfn,2,484,ta,ta,y,235,204,228,0,0,0,NA,NA,shed,350,11,2009,wd,normal,200000
9,50,rm,51.0,6120,pave,NA,reg,lvl,allpub,inside,gtl,oldtown,artery,norm,1fam,1.5fin,7,5,1931,1950,gable,compshg,brkface,wd shng,none,0.0,ta,ta,brktil,ta,ta,no,unf,0,unf,0,952,952,gasa,gd,y,fusef,1022,752,0,1774,0,0,2,0,2,2,ta,8,min1,2,ta,detchd,1931.0,unf,2,468,fa,ta,y,90,0,205,0,0,0,NA,NA,NA,0,4,2008,wd,abnorml,129900
10,190,rl,50.0,7420,pave,NA,reg,lvl,allpub,corner,gtl,brkside,artery,artery,2fmcon,1.5unf,5,6,1939,1950,gable,compshg,metalsd,metalsd,none,0.0,ta,ta,brktil,ta,ta,no,glq,851,unf,0,140,991,gasa,ex,y,sbrkr,1077,0,0,1077,1,0,1,0,2,2,ta,5,typ,2,ta,attchd,1939.0,rfn,1,205,gd,ta,y,0,4,0,0,0,0,NA,NA,NA,0,1,2008,wd,normal,118000
